# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   3	CREB3_full_2      CREB3_full_2	2.0e-023	   1.4e-026	         -59.53	         0.0	      113	        287	        2241	       4737	  0.39373	9.8e-029	       143
   3	CTCF_full            CTCF_full	2.0e-595	   1.3e-598	       -1376.65	         0.0	       94	        284	        4032	       6109	  0.33099	9.6e-601	       141
   3	Creb3l2_DBD_2    Creb3l2_DBD_2	3.6e-101	   2.5e-104	        -238.56	         0.0	       77	        289	        1770	       4180	  0.26644	1.7e-106	       144
   3	Creb5_DBD            Creb5_DBD	1.9e-008	   1.3e-011	         -25.06	         0.0	      165	        289	        1574	       2444	  0.57093	9.1e-014	       144
   3	E2F1_DBD_1          E2F1_DBD_1	6.4e-011	   4.4e-014	         -30.76	         0.0	       69	        289	        1070	       3593	  0.23875	3.0e-016	       144
   3	E2F1_DBD_2          E2F1_DBD_2	3.9e-013	   2.7e-016	         -35.85	         0.0	       65	        289	        1180	       4173	  0.22491	1.9e-018	       144
   3	E2F1_DBD_3          E2F1_DBD_3	1.6e-018	   1.1e-021	         -48.26	         0.0	       69	        287	        1192	       3825	  0.24042	7.7e-024	       143
   3	E2F1_DBD_4          E2F1_DBD_4	6.3e-003	   4.3e-006	         -12.35	         0.0	       57	        287	         317	       1204	  0.19861	3.0e-008	       143
   3	E2F3_DBD_1          E2F3_DBD_1	4.6e-002	   3.2e-005	         -10.36	         0.0	      129	        283	         204	        344	  0.45583	2.3e-007	       141
   3	E2F3_DBD_2          E2F3_DBD_2	2.8e0000	   1.9e-003	          -6.25	         0.0	       59	        283	         105	        343	  0.20848	1.4e-005	       141
   3	EGR2_DBD              EGR2_DBD	4.5e-002	   3.1e-005	         -10.37	         0.0	      148	        290	        3923	       7265	  0.51034	2.2e-007	       144
   3	EHF_full              EHF_full	1.9e-028	   1.3e-031	         -71.12	         0.0	      155	        289	        7102	      12017	  0.53633	9.0e-034	       144
   3	ELF1_DBD              ELF1_DBD	3.7e-027	   2.6e-030	         -68.13	         0.0	      125	        289	        3710	       7407	  0.43253	1.8e-032	       144
   3	ELF1_full            ELF1_full	4.8e-014	   3.3e-017	         -37.94	         0.0	      153	        289	        3321	       5642	  0.52941	2.3e-019	       144
   3	ELF3_DBD              ELF3_DBD	5.3e-024	   3.6e-027	         -60.88	         0.0	      121	        289	        3482	       7192	  0.41869	2.5e-029	       144
   3	ELF3_full            ELF3_full	2.3e-022	   1.6e-025	         -57.10	         0.0	      126	        288	        3382	       6718	  0.43750	1.1e-027	       143
   3	ELF4_full            ELF4_full	1.4e-033	   9.8e-037	         -82.91	         0.0	      155	        289	        5039	       8300	  0.53633	6.8e-039	       144
   3	ELF5_DBD              ELF5_DBD	2.6e-022	   1.8e-025	         -56.99	         0.0	      124	        290	        9476	      20366	  0.42759	1.2e-027	       144
   3	ELF5_full            ELF5_full	1.5e-021	   1.0e-024	         -55.24	         0.0	      124	        290	       10473	      22630	  0.42759	7.1e-027	       144
   3	ELK1_DBD_1          ELK1_DBD_1	8.8e-041	   6.1e-044	         -99.51	         0.0	      159	        291	        9151	      15161	  0.54639	4.2e-046	       145
   3	ELK1_DBD_2          ELK1_DBD_2	2.1e-027	   1.4e-030	         -68.72	         0.0	      151	        291	        4872	       8348	  0.51890	9.9e-033	       145
   3	ELK1_full_1        ELK1_full_1	3.3e-027	   2.3e-030	         -68.26	         0.0	      151	        291	        5467	       9432	  0.51890	1.6e-032	       145
   3	ELK3_DBD              ELK3_DBD	3.4e-037	   2.3e-040	         -91.26	         0.0	      153	        291	        9055	      15611	  0.52577	1.6e-042	       145
   3	ELK4_DBD              ELK4_DBD	4.7e-031	   3.3e-034	         -77.11	         0.0	      159	        291	        8745	      14628	  0.54639	2.2e-036	       145
   3	ERF_DBD                ERF_DBD	1.2e-038	   8.6e-042	         -94.56	         0.0	      157	        291	        8487	      14210	  0.53952	5.9e-044	       145
   3	ERG_DBD_1            ERG_DBD_1	2.0e-027	   1.4e-030	         -68.76	         0.0	      159	        291	        9672	      16325	  0.54639	9.5e-033	       145
   3	ERG_full_1          ERG_full_1	5.0e-030	   3.4e-033	         -74.75	         0.0	      149	        291	        8233	      14623	  0.51203	2.4e-035	       145
   3	ESRRA_DBD_5        ESRRA_DBD_5	6.2e0000	   4.3e-003	          -5.45	         0.0	       44	        284	         402	       2147	  0.15493	3.1e-005	       141
   3	ETS1_DBD_1          ETS1_DBD_1	2.2e-034	   1.5e-037	         -84.78	         0.0	      149	        291	        8899	      15772	  0.51203	1.0e-039	       145
   3	ETS1_DBD_2          ETS1_DBD_2	1.6e0000	   1.1e-003	          -6.81	         0.0	      163	        283	         816	       1284	  0.57597	7.8e-006	       141
   3	ETS1_full_1        ETS1_full_1	1.4e-028	   9.9e-032	         -71.39	         0.0	      149	        291	        9352	      16741	  0.51203	6.8e-034	       145
   3	ETV1_DBD              ETV1_DBD	1.2e-034	   8.6e-038	         -85.35	         0.0	      161	        291	       10732	      17822	  0.55326	5.9e-040	       145
   3	ETV2_DBD              ETV2_DBD	8.4e-027	   5.8e-030	         -67.32	         0.0	      150	        290	        5847	      10162	  0.51724	4.0e-032	       144
   3	ETV3_DBD              ETV3_DBD	3.4e-016	   2.4e-019	         -42.89	         0.0	      157	        291	        9666	      16786	  0.53952	1.6e-021	       145
   3	ETV4_DBD              ETV4_DBD	1.8e-032	   1.2e-035	         -80.39	         0.0	      159	        291	       11056	      18648	  0.54639	8.5e-038	       145
   3	ETV5_DBD              ETV5_DBD	1.3e-034	   9.3e-038	         -85.27	         0.0	      155	        291	       11590	      20018	  0.53265	6.4e-040	       145
   3	ETV6_full_1        ETV6_full_1	5.8e-023	   4.0e-026	         -58.48	         0.0	      154	        286	        2988	       4845	  0.53846	2.8e-028	       142
   3	ETV6_full_2        ETV6_full_2	3.9e-043	   2.7e-046	        -104.93	         0.0	      159	        291	       10962	      18274	  0.54639	1.9e-048	       145
   3	Elf5_DBD              Elf5_DBD	1.4e-021	   9.4e-025	         -55.32	         0.0	      124	        290	       10736	      23220	  0.42759	6.5e-027	       144
   3	Elk3_DBD              Elk3_DBD	3.7e-027	   2.5e-030	         -68.15	         0.0	      151	        291	        5471	       9441	  0.51890	1.7e-032	       145
   3	FEV_DBD                FEV_DBD	1.1e-034	   7.9e-038	         -85.44	         0.0	      159	        291	        9681	      16194	  0.54639	5.4e-040	       145
   3	FIGLA_DBD            FIGLA_DBD	3.1e-116	   2.1e-119	        -273.24	         0.0	      111	        291	        9828	      21359	  0.38144	1.5e-121	       145
   3	FLI1_DBD_1          FLI1_DBD_1	1.3e-031	   9.2e-035	         -78.37	         0.0	      149	        291	        9201	      16391	  0.51203	6.3e-037	       145
   3	FLI1_full_1        FLI1_full_1	2.4e-030	   1.7e-033	         -75.46	         0.0	      151	        291	        7143	      12435	  0.51890	1.2e-035	       145
   3	FOXO4_DBD_3        FOXO4_DBD_3	3.0e-003	   2.1e-006	         -13.10	         0.0	      115	        289	        6708	      15990	  0.39792	1.4e-008	       144
   3	GABPA_full          GABPA_full	5.1e-028	   3.5e-031	         -70.12	         0.0	      159	        291	        7471	      12460	  0.54639	2.4e-033	       145
   3	GCM1_DBD              GCM1_DBD	7.8e-012	   5.4e-015	         -32.85	         0.0	      125	        291	        5829	      12491	  0.42955	3.7e-017	       145
   3	GCM1_full_1        GCM1_full_1	3.2e-013	   2.2e-016	         -36.06	         0.0	       69	        285	        1547	       5247	  0.24211	1.5e-018	       142
   3	GCM1_full_2        GCM1_full_2	5.6e-015	   3.9e-018	         -40.09	         0.0	      126	        290	        5564	      11673	  0.43448	2.7e-020	       144
   3	GCM2_DBD              GCM2_DBD	3.9e-003	   2.7e-006	         -12.82	         0.0	      125	        291	        8055	      17900	  0.42955	1.9e-008	       145
   3	GLI2_DBD_1          GLI2_DBD_1	4.5e0000	   3.1e-003	          -5.77	         0.0	      125	        287	        8209	      18219	  0.43554	2.2e-005	       143
   3	GLI2_DBD_2          GLI2_DBD_2	1.8e-030	   1.2e-033	         -75.79	         0.0	      119	        289	        5306	      11295	  0.41176	8.4e-036	       144
   3	GMEB2_DBD_1        GMEB2_DBD_1	4.6e-036	   3.2e-039	         -88.65	         0.0	      103	        293	        5138	      12549	  0.35154	2.2e-041	       146
   3	GMEB2_DBD_3        GMEB2_DBD_3	1.2e-003	   8.5e-007	         -13.98	         0.0	       98	        286	         799	       1976	  0.34266	6.0e-009	       142
   3	HES5_DBD_1          HES5_DBD_1	4.9e-046	   3.3e-049	        -111.62	         0.0	       83	        289	         833	       1839	  0.28720	2.3e-051	       144
   3	HES5_DBD_2          HES5_DBD_2	6.1e-026	   4.2e-029	         -65.33	         0.0	       69	        289	         523	       1379	  0.23875	2.9e-031	       144
   3	HES7_DBD              HES7_DBD	1.1e-019	   7.6e-023	         -50.93	         0.0	       75	        289	         464	       1166	  0.25952	5.3e-025	       144
   3	HEY1_DBD              HEY1_DBD	4.4e-206	   3.0e-209	        -480.14	         0.0	       97	        291	        5015	      10440	  0.33333	2.1e-211	       145
   3	HEY2_DBD              HEY2_DBD	9.5e-146	   6.5e-149	        -341.21	         0.0	       97	        291	        6173	      14041	  0.33333	4.5e-151	       145
   3	HEY2_full            HEY2_full	1.4e-237	   9.6e-241	        -552.66	         0.0	       97	        291	        6871	      14752	  0.33333	6.6e-243	       145
   3	HIC2_DBD              HIC2_DBD	3.8e-029	   2.6e-032	         -72.72	         0.0	       86	        292	        8233	      24940	  0.29452	1.8e-034	       145
   3	HINFP1_full_1    HINFP1_full_1	3.9e-002	   2.7e-005	         -10.52	         0.0	      231	        289	        7215	       8791	  0.79931	1.9e-007	       144
   3	Hic1_DBD_1          Hic1_DBD_1	1.3e-050	   9.1e-054	        -122.13	         0.0	       83	        283	         913	       1980	  0.29329	6.5e-056	       141
   3	Hic1_DBD_2          Hic1_DBD_2	3.2e-020	   2.2e-023	         -52.16	         0.0	      108	        292	        9102	      22560	  0.36986	1.5e-025	       145
   3	ID4_DBD                ID4_DBD	1.1e-113	   7.7e-117	        -267.36	         0.0	       99	        291	        8015	      19034	  0.34021	5.3e-119	       145
   3	IRF3_full            IRF3_full	1.1e-014	   7.7e-018	         -39.41	         0.0	      172	        280	        2047	       2947	  0.61429	5.5e-020	       139
   3	IRF4_full            IRF4_full	1.1e-013	   7.8e-017	         -37.09	         0.0	      160	        286	         882	       1298	  0.55944	5.5e-019	       142
   3	IRF5_full_1        IRF5_full_1	1.1e-008	   7.7e-012	         -25.59	         0.0	      201	        287	        6868	       9342	  0.70035	5.4e-014	       143
   3	IRF5_full_2        IRF5_full_2	3.8e-013	   2.7e-016	         -35.87	         0.0	      134	        290	        5598	      11124	  0.46207	1.8e-018	       144
   3	IRF8_DBD              IRF8_DBD	7.2e-019	   5.0e-022	         -49.05	         0.0	      163	        287	        3133	       4905	  0.56794	3.5e-024	       143
   3	IRF8_full            IRF8_full	2.4e-014	   1.6e-017	         -38.65	         0.0	      161	        287	         953	       1404	  0.56098	1.1e-019	       143
   3	IRF9_full            IRF9_full	4.5e-010	   3.1e-013	         -28.79	         0.0	      168	        286	         876	       1261	  0.58741	2.2e-015	       142
   3	JDP2_DBD_1          JDP2_DBD_1	5.7e-030	   3.9e-033	         -74.62	         0.0	       98	        292	        2345	       5659	  0.33562	2.7e-035	       145
   3	JDP2_DBD_2          JDP2_DBD_2	2.6e-008	   1.8e-011	         -24.75	         0.0	      131	        289	         921	       1698	  0.45329	1.2e-013	       144
   3	JDP2_full_1        JDP2_full_1	1.6e-028	   1.1e-031	         -71.31	         0.0	      116	        292	        2576	       5383	  0.39726	7.4e-034	       145
   3	JDP2_full_2        JDP2_full_2	1.8e-009	   1.3e-012	         -27.39	         0.0	      131	        289	        1051	       1946	  0.45329	8.9e-015	       144
   3	Jdp2_DBD_1          Jdp2_DBD_1	1.3e-031	   8.8e-035	         -78.41	         0.0	      150	        292	        2281	       3695	  0.51370	6.1e-037	       145
   3	Jdp2_DBD_2          Jdp2_DBD_2	1.6e-007	   1.1e-010	         -22.94	         0.0	      165	        289	        1093	       1666	  0.57093	7.6e-013	       144
   3	MAFF_DBD              MAFF_DBD	2.7e-001	   1.9e-004	          -8.59	         0.0	      124	        286	        1354	       2835	  0.43357	1.3e-006	       142
   3	MAFK_full_2        MAFK_full_2	5.5e-003	   3.8e-006	         -12.48	         0.0	      170	        286	        7253	      11717	  0.59441	2.7e-008	       142
   3	MAX_DBD_1            MAX_DBD_1	6.7e-047	   4.6e-050	        -113.60	         0.0	       86	        284	         953	       2062	  0.30282	3.3e-052	       141
   3	MAX_DBD_2            MAX_DBD_2	5.1e-522	   3.5e-525	       -1207.60	         0.0	      107	        291	        9694	      17619	  0.36770	2.4e-527	       145
   3	MEIS3_DBD_2        MEIS3_DBD_2	6.2e-013	   4.3e-016	         -35.38	         0.0	       87	        289	        3796	      11200	  0.30104	3.0e-018	       144
   3	MESP1_DBD            MESP1_DBD	3.2e-081	   2.2e-084	        -192.62	         0.0	      119	        291	       11601	      24631	  0.40893	1.5e-086	       145
   3	MGA_DBD_1            MGA_DBD_1	4.3e-002	   2.9e-005	         -10.44	         0.0	       91	        293	        6186	      18873	  0.31058	2.0e-007	       146
   3	MLXIPL_full        MLXIPL_full	6.7e-315	   4.6e-318	        -730.69	         0.0	      107	        291	        7212	      13636	  0.36770	3.2e-320	       145
   3	MLX_full              MLX_full	1.1e-143	   7.4e-147	        -336.47	         0.0	       77	        291	        2493	       5922	  0.26460	5.1e-149	       145
   3	MNT_DBD                MNT_DBD	5.7e-484	   4.0e-487	       -1119.98	         0.0	      107	        291	        9744	      17993	  0.36770	2.7e-489	       145
   3	MSC_full              MSC_full	2.1e-019	   1.5e-022	         -50.26	         0.0	      177	        291	        7045	      10741	  0.60825	1.0e-024	       145
   3	MTF1_DBD              MTF1_DBD	2.3e0000	   1.6e-003	          -6.43	         0.0	       61	        287	         483	       1908	  0.21254	1.1e-005	       143
   3	MYF6_full            MYF6_full	6.7e-007	   4.6e-010	         -21.50	         0.0	      135	        291	        4397	       8783	  0.46392	3.2e-012	       145
   3	Mafb_DBD_2          Mafb_DBD_2	1.2e-002	   8.1e-006	         -11.72	         0.0	      186	        284	        6625	       9738	  0.65493	5.8e-008	       141
   3	Meis2_DBD_2        Meis2_DBD_2	4.5e-013	   3.1e-016	         -35.70	         0.0	       95	        289	        5592	      15458	  0.32872	2.2e-018	       144
   3	Meis3_DBD_2        Meis3_DBD_2	5.8e-008	   4.0e-011	         -23.95	         0.0	      117	        289	        3108	       6944	  0.40484	2.8e-013	       144
   3	Mlx_DBD                Mlx_DBD	8.6e-170	   5.9e-173	        -396.57	         0.0	       87	        291	        2490	       5106	  0.29897	4.1e-175	       145
   3	NEUROD2_full      NEUROD2_full	8.9e-168	   6.1e-171	        -391.93	         0.0	       93	        291	        7139	      16896	  0.31959	4.2e-173	       145
   3	NEUROG2_DBD        NEUROG2_DBD	1.6e-079	   1.1e-082	        -188.68	         0.0	       95	        291	        3974	       9402	  0.32646	7.8e-085	       145
   3	NEUROG2_full      NEUROG2_full	6.3e-090	   4.3e-093	        -212.68	         0.0	       91	        291	        2890	       6667	  0.31271	3.0e-095	       145
   3	NFAT5_DBD            NFAT5_DBD	3.2e0000	   2.2e-003	          -6.11	         0.0	      141	        287	        1774	       3364	  0.49129	1.5e-005	       143
   3	NFE2_DBD              NFE2_DBD	1.7e-028	   1.1e-031	         -71.25	         0.0	      170	        290	        2277	       3309	  0.58621	7.9e-034	       144
   3	NFIX_full_4        NFIX_full_4	1.9e0000	   1.3e-003	          -6.63	         0.0	       52	        286	         677	       3195	  0.18182	9.3e-006	       142
   3	NFKB1_DBD            NFKB1_DBD	3.8e-011	   2.6e-014	         -31.29	         0.0	      108	        288	         653	       1348	  0.37500	1.8e-016	       143
   3	NFKB2_DBD            NFKB2_DBD	7.9e-019	   5.4e-022	         -48.97	         0.0	      116	        288	        1950	       4052	  0.40278	3.8e-024	       143
   3	NHLH1_DBD            NHLH1_DBD	3.1e-014	   2.1e-017	         -38.39	         0.0	      159	        291	        7473	      12756	  0.54639	1.5e-019	       145
   3	NHLH1_full          NHLH1_full	2.0e-029	   1.4e-032	         -73.36	         0.0	      137	        291	        6815	      12993	  0.47079	9.5e-035	       145
   3	NR2F1_DBD_3        NR2F1_DBD_3	7.8e0000	   5.4e-003	          -5.22	         0.0	       22	        288	         836	       9563	  0.07639	3.8e-005	       143
   3	NR2F1_full          NR2F1_full	2.3e-017	   1.6e-020	         -45.61	         0.0	       53	        293	        3354	      15876	  0.18089	1.1e-022	       146
   3	NR2F6_DBD_1        NR2F6_DBD_1	1.4e-001	   9.5e-005	          -9.26	         0.0	      140	        286	         541	        952	  0.48951	6.7e-007	       142
   3	NR4A2_full_1      NR4A2_full_1	1.9e-011	   1.3e-014	         -31.99	         0.0	       62	        284	         510	       1669	  0.21831	9.1e-017	       141
   3	NRF1_full            NRF1_full	1.8e-007	   1.2e-010	         -22.83	         0.0	      135	        289	        1676	       3163	  0.46713	8.5e-013	       144
   3	NRL_DBD                NRL_DBD	4.5e0000	   3.1e-003	          -5.77	         0.0	      154	        290	       13187	      24233	  0.53103	2.2e-005	       144
   3	Nr2f6_DBD_1        Nr2f6_DBD_1	5.1e-010	   3.5e-013	         -28.68	         0.0	      166	        286	         599	        842	  0.58042	2.5e-015	       142
   3	OLIG1_DBD            OLIG1_DBD	2.1e-070	   1.4e-073	        -167.74	         0.0	       91	        291	        2370	       5501	  0.31271	9.8e-076	       145
   3	OLIG2_DBD            OLIG2_DBD	5.3e-033	   3.6e-036	         -81.60	         0.0	       91	        291	        3617	       9657	  0.31271	2.5e-038	       145
   3	OLIG2_full          OLIG2_full	8.6e-079	   5.9e-082	        -187.03	         0.0	       91	        291	        3705	       9047	  0.31271	4.1e-084	       145
   3	OLIG3_DBD            OLIG3_DBD	1.4e-051	   9.8e-055	        -124.36	         0.0	       91	        291	        4935	      13050	  0.31271	6.8e-057	       145
   3	PAX1_DBD              PAX1_DBD	9.0e-003	   6.2e-006	         -11.99	         0.0	       70	        284	         420	       1349	  0.24648	4.4e-008	       141
   3	PAX2_DBD              PAX2_DBD	7.0e-001	   4.8e-004	          -7.63	         0.0	      145	        283	        1432	       2572	  0.51237	3.4e-006	       141
   3	PAX5_DBD              PAX5_DBD	7.7e-006	   5.3e-009	         -19.05	         0.0	      145	        283	        4168	       7581	  0.51237	3.8e-011	       141
   3	PAX6_DBD              PAX6_DBD	2.2e-004	   1.5e-007	         -15.70	         0.0	      172	        282	        1750	       2625	  0.60993	1.1e-009	       140
   3	PAX9_DBD              PAX9_DBD	1.9e0000	   1.3e-003	          -6.65	         0.0	      152	        284	         367	        589	  0.53521	9.2e-006	       141
   3	PKNOX1_DBD          PKNOX1_DBD	9.9e-002	   6.8e-005	          -9.60	         0.0	      217	        289	        1110	       1375	  0.75087	4.7e-007	       144
   3	PKNOX2_DBD          PKNOX2_DBD	1.2e-002	   8.2e-006	         -11.71	         0.0	      129	        289	         905	       1776	  0.44637	5.7e-008	       144
   3	PRDM1_full          PRDM1_full	3.1e-002	   2.2e-005	         -10.75	         0.0	      136	        286	        4266	       8475	  0.47552	1.5e-007	       142
   3	Pknox2_DBD          Pknox2_DBD	3.8e-001	   2.6e-004	          -8.25	         0.0	      217	        289	         769	        944	  0.75087	1.8e-006	       144
   3	Pou2f2_DBD_2      Pou2f2_DBD_2	1.1e0000	   7.9e-004	          -7.15	         0.0	      166	        292	        5198	       8785	  0.56849	5.4e-006	       145
   3	RARA_DBD_1          RARA_DBD_1	1.7e-008	   1.2e-011	         -25.15	         0.0	       59	        283	         478	       1679	  0.20848	8.4e-014	       141
   3	RARA_DBD_2          RARA_DBD_2	1.1e-007	   7.4e-011	         -23.32	         0.0	      141	        283	         299	        449	  0.49823	5.3e-013	       141
   3	RARA_full_2        RARA_full_2	8.8e-013	   6.0e-016	         -35.04	         0.0	       57	        283	         341	       1093	  0.20141	4.3e-018	       141
   3	RARG_DBD_1          RARG_DBD_1	8.0e-001	   5.5e-004	          -7.50	         0.0	      130	        284	         516	        974	  0.45775	3.9e-006	       141
   3	RARG_DBD_3          RARG_DBD_3	6.8e-019	   4.7e-022	         -49.11	         0.0	       58	        284	         534	       1739	  0.20423	3.3e-024	       141
   3	RARG_full_3        RARG_full_3	4.5e-013	   3.1e-016	         -35.72	         0.0	       60	        284	        2346	       9442	  0.21127	2.2e-018	       141
   3	RUNX2_DBD_1        RUNX2_DBD_1	4.4e-007	   3.0e-010	         -21.93	         0.0	      131	        285	        4693	       9476	  0.45965	2.1e-012	       142
   3	RUNX2_DBD_2        RUNX2_DBD_2	6.8e-008	   4.7e-011	         -23.78	         0.0	      101	        283	        2260	       5602	  0.35689	3.3e-013	       141
   3	RUNX2_DBD_3        RUNX2_DBD_3	1.5e-066	   1.1e-069	        -158.81	         0.0	      138	        292	        8823	      16256	  0.47260	7.3e-072	       145
   3	RUNX3_DBD_1        RUNX3_DBD_1	5.7e-006	   3.9e-009	         -19.35	         0.0	      105	        285	        3052	       7532	  0.36842	2.8e-011	       142
   3	RUNX3_DBD_2        RUNX3_DBD_2	5.9e-063	   4.1e-066	        -150.57	         0.0	      147	        291	        9123	      15890	  0.50515	2.8e-068	       145
   3	RUNX3_DBD_3        RUNX3_DBD_3	9.7e-011	   6.7e-014	         -30.34	         0.0	      101	        283	        2445	       6006	  0.35689	4.7e-016	       141
   3	RUNX3_full          RUNX3_full	1.6e-057	   1.1e-060	        -138.04	         0.0	      147	        291	        9804	      17242	  0.50515	7.8e-063	       145
   3	RXRA_DBD_2          RXRA_DBD_2	4.5e0000	   3.1e-003	          -5.77	         0.0	       71	        287	         936	       3363	  0.24739	2.2e-005	       143
